projection,method,bits,relative_mse_mean,relative_mse_median,relative_mse_min,relative_mse_max,cosine_mean,cosine_median,cosine_min,cosine_max,sqnr_db_mean,sqnr_db_median,sqnr_db_min,sqnr_db_max,relative_mse_p90,cosine_p90,sqnr_db_p90
down_proj,direct_absmax,2,0.5936501595106992,0.5928718745708466,0.5901505351066589,0.6004288196563721,0.7354072278196161,0.7360514104366302,0.7264465689659119,0.7389594912528992,2.264735211025585,2.2703927755355835,2.2153847217559814,2.290372371673584,0.5974493026733398,0.7381845951080322,2.2819549083709716
down_proj,direct_absmax,3,0.07967982847582206,0.07948732376098624,0.0772543251514434,0.0852128341794014,0.9636333313855258,0.9637610912322998,0.961104929447174,0.9647159576416016,10.987886385484176,10.997053146362305,10.694950103759766,11.120772361755373,0.08146710097789764,0.9645972907543183,11.099641227722168
down_proj,direct_absmax,4,0.01480824521488759,0.014802250545471851,0.0142491180449724,0.0160395298153162,0.9926324947313829,0.9925724565982819,0.9920836091041564,0.9934723973274232,18.29683321172541,18.296722412109375,17.948083877563477,18.462120056152344,0.015196233149617839,0.9930584788322447,18.438423538208006
down_proj,hadamard_absmax,2,0.5872259925712239,0.5871741771697998,0.5865051746368408,0.5879771709442139,0.7443686859174208,0.7444530725479126,0.7434863448143005,0.7450465559959412,2.311948375268416,2.3123303651809692,2.3063950538635254,2.317281723022461,0.5878281354904175,0.7447385787963867,2.3162487745285034
down_proj,hadamard_absmax,3,0.07479133456945415,0.0748094469308853,0.0745609030127525,0.0749392285943031,0.9670082086866553,0.9670127630233765,0.9667704105377196,0.9672445058822632,11.261490735140713,11.260436058044434,11.252907752990724,11.27488899230957,0.0749241814017295,0.9671055138111114,11.269071769714357
down_proj,hadamard_absmax,4,0.013726612426001865,0.013732302468270001,0.0136902090162038,0.0137531301006674,0.9956553334539587,0.9956697225570679,0.9954351782798768,0.9958227872848512,18.624369274486195,18.62256622314453,18.615985870361328,18.63589859008789,0.013743886351585301,0.9957606375217438,18.629751205444332
down_proj,hadamard_lm,2,0.11590959165583953,0.11591256782412525,0.1157387271523475,0.1160373762249946,0.9426498846574263,0.9426765441894531,0.9424096941947936,0.9428143501281738,9.358807130293412,9.358694553375244,9.354021072387695,9.36521339416504,0.11600349321961399,0.9427558064460756,9.3617449760437
down_proj,hadamard_lm,3,0.03395348431711842,0.0339549500495195,0.0339089818298816,0.0339878909289836,0.9853274442932822,0.9853353500366211,0.9850345849990844,0.9854980111122132,14.691157471049916,14.69096851348877,14.68675708770752,14.69685173034668,0.03398448117077349,0.985444748401642,14.695349311828613
down_proj,hadamard_lm,4,0.009326603009619459,0.00932864611968395,0.0093054613098502,0.0093416264280676,0.997789591550827,0.9977964162826538,0.9975215792655944,0.9979596734046936,20.302767233415082,20.30181312561035,20.295774459838867,20.3126220703125,0.00933499541133639,0.9978959381580352,20.307681274414062
down_proj,mxfp4,4,0.013924318069422736,0.013886057306081001,0.0137287816032767,0.0144318034872412,0.9986804615367543,0.9989505112171172,0.9971739649772644,0.9995295405387878,18.562509189952504,18.574210166931152,18.40679359436035,18.623680114746097,0.01405140124261375,0.999294126033783,18.607284164428712
down_proj,randhadamard_lm,2,0.1158807545223019,0.1158720999956131,0.1157480999827385,0.1159814149141311,0.9426681318066337,0.9426791369915009,0.9424347281455994,0.9428392052650452,9.359887513247402,9.360211372375488,9.35611629486084,9.364861488342283,0.11596759930253026,0.9427734076976776,9.36235933303833
down_proj,randhadamard_lm,3,0.03394634039564561,0.03394142724573605,0.0339181199669837,0.0339766032993793,0.9853317900137468,0.9853326082229614,0.9850614666938782,0.9854751229286194,14.692070960998535,14.69269847869873,14.68820095062256,14.695682525634766,0.03397488892078399,0.9854465186595918,14.695432472229005
down_proj,randhadamard_lm,4,0.009323923340575213,0.009322287049144451,0.0093163512647151,0.0093320645391941,0.9977911195971749,0.9977934956550598,0.997533917427063,0.9979508519172668,20.304014032537285,20.30477523803711,20.30022430419922,20.307540893554688,0.00933090690523385,0.9978966236114502,20.307280349731446
down_proj,randortho_lm,2,0.11600276048887856,0.11599242314696304,0.1158756390213966,0.1161331906914711,0.9426053410226648,0.9426321387290955,0.9423831701278688,0.942736268043518,9.355317115783691,9.355703353881836,9.350436210632324,9.360078811645508,0.11607329919934273,0.94271542429924,9.357572174072265
down_proj,randortho_lm,3,0.033978912640701596,0.03397553041577335,0.0339277200400829,0.0340128280222415,0.9853121042251587,0.9853253066539764,0.985053300857544,0.985471487045288,14.687906048514627,14.688337802886963,14.683571815490724,14.694453239440918,0.034006175771355604,0.9854286134243012,14.691674423217773
down_proj,randortho_lm,4,0.009329355829818628,0.00933031039312475,0.0093113230541348,0.009344732388854,0.9977887381206859,0.9977982938289642,0.9975273609161376,0.9979520440101624,20.301485321738504,20.301039695739746,20.29433250427246,20.309886932373047,0.00934065412729975,0.9979008436203004,20.306565284729004
gate_proj,direct_absmax,2,0.5935570516369559,0.5923105776309967,0.5895141959190369,0.6044450998306274,0.7359938296404752,0.7371319234371185,0.724079966545105,0.7401307821273804,2.2654412442987617,2.2745050191879272,2.1864311695098877,2.2950572967529297,0.5970142543315887,0.7385849714279175,2.2864797592163084
gate_proj,direct_absmax,3,0.07914950664747841,0.0785998851060867,0.0765024200081825,0.0879916101694107,0.9639592251994393,0.9642194211483002,0.9599217772483826,0.9650297164916992,11.017331556840377,11.04578447341919,10.555587768554688,11.163249015808104,0.08097710087895393,0.9647870898246766,11.123696994781495
gate_proj,direct_absmax,4,0.014627900736575723,0.0145135936327278,0.0140865612775087,0.0163304340094327,0.9936027039181102,0.9937690496444702,0.9922562837600708,0.9939562678337096,18.350219119678844,18.382250785827637,17.870023727416992,18.51194953918457,0.01502938577905288,0.9939100861549377,18.476064109802245
gate_proj,hadamard_absmax,2,0.5873729884624481,0.5873575508594513,0.5867589116096497,0.5879806280136108,0.7439297789877112,0.7439068257808685,0.7435766458511353,0.7447466254234314,2.3108609372919258,2.3109744787216187,2.306370258331299,2.3154029846191406,0.5877018392086029,0.7442609548568726,2.314204454421997
gate_proj,hadamard_absmax,3,0.07482050697911866,0.0748216621577739,0.074592538177967,0.0749213993549346,0.9671930426901038,0.96724933385849,0.9667912125587464,0.9673880934715272,11.259795622392135,11.259726524353027,11.25394058227539,11.273046493530272,0.07488227039575573,0.9673791706562043,11.263772010803223
gate_proj,hadamard_absmax,4,0.013731893829323981,0.0137323499657213,0.013698480091989,0.0137568656355142,0.995788877660578,0.9958738684654236,0.9953742027282716,0.9960129261016846,18.62269791689786,18.62255096435547,18.614805221557617,18.633275985717773,0.01374998856335875,0.9959519565105438,18.628982353210453
gate_proj,hadamard_lm,2,0.11592424965717572,0.11593704298138616,0.1157626211643219,0.116019032895565,0.9426689337600361,0.942709356546402,0.9423917531967164,0.9428831934928894,9.358257640491832,9.35777759552002,9.354707717895508,9.364316940307615,0.11598908081650726,0.9428359687328338,9.361853122711182
gate_proj,hadamard_lm,3,0.033958026631311894,0.0339570268988609,0.0339103564620018,0.033999428153038,0.9854219447482716,0.9854990839958192,0.985048234462738,0.985640823841095,14.690576206554066,14.690703392028809,14.685283660888672,14.69667625427246,0.03397817164659492,0.9855792164802551,14.693957805633543
gate_proj,hadamard_lm,4,0.009325785731727392,0.009326241910457549,0.0093101952224969,0.009339808486402,0.9979089308868755,0.9979791641235352,0.9975146055221558,0.9981344938278198,20.303147142583672,20.30293369293213,20.296621322631836,20.31041145324707,0.009336072485893939,0.9980735659599304,20.30777931213379
gate_proj,mxfp4,4,0.014019591522149015,0.014014135114848551,0.0139484489336609,0.0141216041520237,0.9995326562361284,0.9998291730880738,0.99731707572937,1.0015201568603516,18.532671841708098,18.534337043762207,18.50115966796875,18.55474090576172,0.014083500113338171,1.0007089376449585,18.552568817138674
gate_proj,randhadamard_lm,2,0.11591927233067421,0.1159245558083057,0.1157959178090095,0.1160052716732025,0.9426763138987801,0.9427350759506226,0.9424006938934326,0.9428552985191344,9.358443867076527,9.358245849609375,9.355222702026367,9.363067626953123,0.11598159894347189,0.9428434371948242,9.360992050170898
gate_proj,randhadamard_lm,3,0.03395394862375472,0.033956600353121744,0.0338881835341453,0.0339872762560844,0.9854262633757158,0.9854923188686371,0.9850502014160156,0.985649049282074,14.691098299893467,14.690757751464844,14.68683624267578,14.699517250061035,0.03398082591593261,0.9856023967266083,14.693516159057616
gate_proj,randhadamard_lm,4,0.009325181176377914,0.00932648032903665,0.0093046808615326,0.0093408236280083,0.9979111443866383,0.9979906380176544,0.997524917125702,0.9981294870376588,20.303429343483664,20.302823066711426,20.29615020751953,20.312986373901367,0.00933384625241159,0.9980830430984499,20.307272911071777
gate_proj,randortho_lm,2,0.11601256274364205,0.11600282415747634,0.1158910319209098,0.1161224618554115,0.9426204535094175,0.9426693320274353,0.9423404335975648,0.9428483247756958,9.354950601404363,9.355314254760742,9.350837707519531,9.359501838684082,0.11609840467572209,0.9427671670913697,9.358508110046385
gate_proj,randortho_lm,3,0.033983884379267644,0.03398530744016165,0.0339361540973186,0.0340398624539375,0.9854083603078668,0.9854827523231506,0.9850261807441713,0.985641062259674,14.687270771373402,14.687088012695312,14.68012237548828,14.693373680114746,0.03400916941463939,0.98558109998703,14.690684700012207
gate_proj,randortho_lm,4,0.0093322279863059,0.00933177210390565,0.0093140332028269,0.0093546900898218,0.9979052950035442,0.9979735314846039,0.9975212216377258,0.9981244206428528,20.300148357044566,20.300357818603516,20.28970718383789,20.308624267578125,0.009342374000698251,0.9980855762958527,20.30438575744629
k_proj,direct_absmax,2,0.6057363707910884,0.6084846258163452,0.4891491234302521,0.6403207778930664,0.717229734767567,0.7199279069900513,0.6759243011474609,0.7444613575935364,2.182112281972712,2.1575056314468384,1.936024188995361,3.1055874824523926,0.6195372581481934,0.7279628813266754,2.208446192741394
k_proj,direct_absmax,3,0.0938751026988029,0.0882979519665241,0.0812385380268096,0.1619063019752502,0.9559124139222231,0.958587259054184,0.9213821291923524,0.9618235230445862,10.335233363238247,10.540494918823242,7.907362461090088,10.90237808227539,0.10672991275787348,0.9613723993301392,10.847010231018066
k_proj,direct_absmax,4,0.01813112000342115,0.016273175366222803,0.0149527378380298,0.04566590487957,0.9910590567372062,0.9919612109661102,0.977644383907318,0.9926058053970336,17.572756333784625,17.88529682159424,13.40407943725586,18.25279426574707,0.019812291115522313,0.9925236284732818,18.203342056274415
k_proj,hadamard_absmax,2,0.5844169936396859,0.585574597120285,0.5507210493087769,0.5896201729774475,0.7445285564119165,0.7434777915477753,0.7405131459236145,0.7740116715431213,2.3331425840204414,2.324177622795105,2.294276475906372,2.5906834602355957,0.588025027513504,0.7445592880249023,2.3372052907943726
k_proj,hadamard_absmax,3,0.0740176208994605,0.07445429265499115,0.0638497471809387,0.0753662884235382,0.965046451850371,0.9648764431476592,0.964412808418274,0.9696502089500428,11.308866890993984,11.281102180480957,11.228228569030762,11.948408126831056,0.07511043995618817,0.965026217699051,11.304025268554687
k_proj,hadamard_absmax,4,0.013574431819671886,0.013651683460921,0.0117123872041702,0.0138245895504951,0.9932966096834703,0.9932537972927094,0.993161916732788,0.9942547082901,18.674985885620117,18.64813804626465,18.593477249145508,19.313547134399418,0.0137509065680205,0.9932992458343506,18.67567024230957
k_proj,hadamard_lm,2,0.11529224095019423,0.1156777031719684,0.1089411675930023,0.1163945496082305,0.9406070140275088,0.9403881728649139,0.940004289150238,0.9441781640052797,9.382353262467818,9.367504119873047,9.340673446655272,9.628079414367676,0.1159451238811016,0.940717387199402,9.390136528015137
k_proj,hadamard_lm,3,0.033749274062839375,0.033847352489829,0.0316463410854339,0.0340658873319625,0.9829940254038031,0.9829377830028534,0.982820987701416,0.9841456413269044,14.717813578518955,14.704752445220947,14.676801681518556,14.99676513671875,0.03403493538498875,0.9830340504646302,14.729410743713379
k_proj,hadamard_lm,4,0.0092708166180686,0.009296012576669399,0.0087738716974854,0.0093819899484515,0.9953658607873049,0.9953525960445404,0.9952982068061828,0.995668649673462,20.32917057384144,20.317031860351562,20.277050018310547,20.568086624145508,0.00934217348694792,0.9953925907611847,20.341263580322266
k_proj,mxfp4,4,0.014720719857987981,0.01419947855174535,0.0137709090486168,0.023545317351818,0.992635496638038,0.992893636226654,0.988242506980896,0.9931010603904724,18.350641163912687,18.47728157043457,16.280954360961914,18.610374450683594,0.015028564725071122,0.9930230915546417,18.558970260620118
k_proj,randhadamard_lm,2,0.11529230665076859,0.11571622267365456,0.1086137741804122,0.1163869574666023,0.9406064206903632,0.940371185541153,0.9400074481964112,0.9443395733833312,9.38238473372026,9.366058349609375,9.340956687927246,9.64115047454834,0.11601642593741412,0.9407379806041718,9.39218349456787
k_proj,randhadamard_lm,3,0.0337643469260497,0.03386024385690685,0.0316370911896228,0.0341202057898044,0.9829871356487274,0.9829338490962982,0.9827925562858582,0.9841474890708924,14.715878053144975,14.703099250793457,14.669883728027344,14.998034477233888,0.03402567878365509,0.9830431342124938,14.723554229736326
k_proj,randhadamard_lm,4,0.009271486027335523,0.009292310569435299,0.008808416314423,0.0093968790024518,0.9953657822175459,0.9953538477420806,0.9952926635742188,0.9956554174423218,20.328814073042437,20.318763732910156,20.270164489746097,20.551021575927734,0.009328442160040069,0.9953816175460817,20.34735908508301
k_proj,randortho_lm,2,0.11589110304008826,0.1159165017306804,0.11542759090662,0.1164383441209793,0.9402804862369191,0.9402602016925812,0.9399911761283876,0.9405624866485596,9.35951042175293,9.35854721069336,9.33903980255127,9.376903533935549,0.11620711609721182,0.9404571771621705,9.371918201446535
k_proj,randortho_lm,3,0.03393130360001862,0.033921474590897546,0.0336822345852851,0.0341374948620796,0.9828996387394991,0.9828979969024658,0.9827865362167358,0.9830549955368042,14.694019967859441,14.695252895355225,14.667683601379396,14.725991249084473,0.03410880230367175,0.9829677820205688,14.711522102355955
k_proj,randortho_lm,4,0.009315494363280817,0.009324308019131401,0.0092232190072536,0.0093750618398189,0.9953429129990664,0.9953359067440033,0.9953036308288574,0.9954214692115784,20.3079682263461,20.303833961486816,20.280258178710938,20.351173400878903,0.00934366276487707,0.995363175868988,20.32456874847412
o_proj,direct_absmax,2,0.5963863296942278,0.5969910621643066,0.5911087393760681,0.6010189652442932,0.7315296043049205,0.7314934134483337,0.7238430976867676,0.7363146543502808,2.2447608059102837,2.2403221130371094,2.211118221282959,2.2833266258239746,0.59908367395401,0.735137140750885,2.272196912765503
o_proj,direct_absmax,3,0.08115578815340992,0.0803775601089,0.0781345069408416,0.0962790697813034,0.9620848108421672,0.9624672532081604,0.9551518559455872,0.9634711742401124,10.910809820348566,10.948652267456055,10.164681434631348,11.071571350097656,0.08290011361241338,0.9632329046726226,11.048546791076662
o_proj,direct_absmax,4,0.015021992254663536,0.01480730948969715,0.0143776107579469,0.0189045686274766,0.9928697591478174,0.992968887090683,0.9911077618598938,0.9931679368019104,18.239703958684746,18.295251846313477,17.234333038330078,18.423133850097656,0.01534478263929477,0.9931287705898284,18.401738548278807
o_proj,hadamard_absmax,2,0.5927106142044067,0.5924656093120575,0.5868023633956909,0.5964723229408264,0.7360870350490917,0.736962616443634,0.7303622364997864,0.7391196489334106,2.271602077917619,2.2733689546585083,2.2440969944000244,2.3150813579559326,0.5950923323631286,0.7386569440364837,2.2862408638000487
o_proj,hadamard_absmax,3,0.07809920744462441,0.0777151137590408,0.0760081857442855,0.083176277577877,0.9637466994198886,0.9640243053436279,0.9614421129226683,0.9646682739257812,11.074689258228648,11.094945907592773,10.800004959106444,11.191396713256836,0.08083074539899826,0.9644830405712128,11.168619155883789
o_proj,hadamard_absmax,4,0.014336011584170794,0.01426033396273845,0.0139510305598378,0.0153526375070214,0.9934767430478876,0.9935328960418701,0.9929542541503906,0.9937712550163268,18.436967329545453,18.458703994750977,18.13817024230957,18.553937911987305,0.01484535047784441,0.9936579525470733,18.529650688171387
o_proj,hadamard_lm,2,0.11925061656670133,0.11882860958576195,0.1168381497263908,0.1254999488592147,0.9390277320688422,0.9392562806606294,0.9357033371925354,0.9402933716773988,9.236050865866922,9.250792503356934,9.013565063476562,9.324152946472168,0.12229069694876668,0.9400410056114196,9.304880523681641
