bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.0.self_attn,0,fp16,fp16,1.0000487565994263,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.05456080660223961,0.026200002059340477,1.7837244272232056,4,0.02742999605834484,per_token_head_absmax,absmax_per_token_head,none,model.layers.0.self_attn,0,absmax,absmax_k4v4,0.9790714383125305,0.043762482702732086,none,0.027917208150029182,0.026200002059340477,0.009559106081724167,0.915478527545929,4,0.03377990424633026,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,-0.020861294120550156,0.005957655608654022,0.40584537386894226,4,0.008479686453938484,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v4,0.9939725995063782,0.012188602238893509,hadamard,0.00634813355281949,0.005957655608654022,0.0026450923178344965,0.939453125,4,0.008357872255146503,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,-0.03679591417312622,0.0238613560795784,1.6258642673492432,3,0.03072323091328144,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k3v4,0.9836889505386353,0.03256721422076225,hadamard,0.02542528323829174,0.0238613560795784,0.010145959444344044,0.887402355670929,4,0.008357872255146503,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,-0.020861294120550156,0.005957655608654022,0.40584537386894226,4,0.008479686453938484,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v3,0.986971914768219,0.026071250438690186,hadamard,0.00634813355281949,0.005957655608654022,0.0026450923178344965,0.939453125,3,0.03034866787493229,per_token_head_rms
K4V4,randomized Hadamard non-uniform KV fake quant,-0.01684693992137909,0.010717228055000305,0.730574369430542,4,0.009230111725628376,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.0.self_attn,0,hadamard_lm,randhadamard_lm_k4v4,0.9929213523864746,0.014214668422937393,randomized_hadamard,0.011419659480452538,0.010717228055000305,0.0034702809061855078,0.934374988079071,4,0.008190161548554897,per_token_head_rms
K3V4,randomized Hadamard key bit reduction,0.02315758727490902,0.03442434221506119,2.3470215797424316,3,0.03310314565896988,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.0.self_attn,0,hadamard_lm,randhadamard_lm_k3v4,0.9820544123649597,0.03644275292754173,randomized_hadamard,0.036680590361356735,0.03442434221506119,0.01245378702878952,0.8868408203125,4,0.008190161548554897,per_token_head_rms
K4V3,randomized Hadamard value bit reduction,-0.01684693992137909,0.010717228055000305,0.730574369430542,4,0.009230111725628376,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.0.self_attn,0,hadamard_lm,randhadamard_lm_k4v3,0.9856682419776917,0.028667256236076355,randomized_hadamard,0.011419659480452538,0.010717228055000305,0.0034702809061855078,0.934374988079071,3,0.0295826755464077,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,-0.04331192374229431,0.008099257946014404,0.5504506230354309,4,0.008908065035939217,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.0.self_attn,0,hadamard_lm,randortho_lm_k4v4,0.9929138422012329,0.01422654278576374,random_orthogonal,0.008630101568996906,0.008099257946014404,0.003120342968031764,0.939648449420929,4,0.00891730934381485,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,-0.05623107776045799,0.023184141144156456,1.5778738260269165,3,0.03233425319194794,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.0.self_attn,0,hadamard_lm,randortho_lm_k3v4,0.9864363670349121,0.027035847306251526,random_orthogonal,0.024703681468963623,0.023184141144156456,0.009947608225047588,0.8877929449081421,4,0.00891730934381485,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,-0.04331192374229431,0.008099257946014404,0.5504506230354309,4,0.008908065035939217,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.0.self_attn,0,hadamard_lm,randortho_lm_k4v3,0.9852311611175537,0.029477225616574287,random_orthogonal,0.008630101568996906,0.008099257946014404,0.003120342968031764,0.939648449420929,3,0.03232506662607193,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.1.self_attn,1,fp16,fp16,1.0000150203704834,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.02464604750275612,0.0047035072930157185,2.964216947555542,4,0.013566650450229645,per_token_head_absmax,absmax_per_token_head,none,model.layers.1.self_attn,1,absmax,absmax_k4v4,0.9765556454658508,0.048285048454999924,none,0.04632538557052612,0.0047035072930157185,0.01356865931302309,0.9189697504043579,4,0.02859923429787159,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.0901712030172348,0.0036921396385878325,2.3191847801208496,4,0.009811448864638805,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k4v4,0.986350417137146,0.027225123718380928,hadamard,0.03636430948972702,0.0036921396385878325,0.010662756860256195,0.9266601800918579,4,0.008697262965142727,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.37658023834228516,0.013447185046970844,8.334531784057617,3,0.03558766096830368,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k3v4,0.9683436751365662,0.062375329434871674,hadamard,0.1324428766965866,0.013447185046970844,0.0353739969432354,0.8734130859375,4,0.008697262965142727,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.0901712030172348,0.0036921396385878325,2.3191847801208496,4,0.009811448864638805,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.1.self_attn,1,hadamard_lm,hadamard_lm_k4v3,0.9751140475273132,0.04932400956749916,hadamard,0.03636430948972702,0.0036921396385878325,0.010662756860256195,0.9266601800918579,3,0.03113655373454094,per_token_head_rms
K4V4,randomized Hadamard non-uniform KV fake quant,0.26102274656295776,0.004254482686519623,2.613651990890503,4,0.009246943518519402,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.1.self_attn,1,hadamard_lm,randhadamard_lm_k4v4,0.9863181710243225,0.02738628163933754,randomized_hadamard,0.04190289229154587,0.004254482686519623,0.011471662670373917,0.922900378704071,4,0.008956041187047958,per_token_head_rms
K3V4,randomized Hadamard key bit reduction,0.8264646530151367,0.015240917913615704,8.923968315124512,3,0.03417015075683594,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.1.self_attn,1,hadamard_lm,randhadamard_lm_k3v4,0.9650505185127258,0.06928341835737228,randomized_hadamard,0.15010955929756165,0.015240917913615704,0.04229245334863663,0.8644043207168579,4,0.008956041187047958,per_token_head_rms
K4V3,randomized Hadamard value bit reduction,0.26102274656295776,0.004254482686519623,2.613651990890503,4,0.009246943518519402,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.1.self_attn,1,hadamard_lm,randhadamard_lm_k4v3,0.974983811378479,0.04976145178079605,randomized_hadamard,0.04190289229154587,0.004254482686519623,0.011471662670373917,0.922900378704071,3,0.032093554735183716,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,0.14825940132141113,0.0033691078424453735,2.1017141342163086,4,0.008814661763608456,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.1.self_attn,1,hadamard_lm,randortho_lm_k4v4,0.9876871109008789,0.024567069485783577,random_orthogonal,0.03318273276090622,0.0033691078424453735,0.010431407019495964,0.9283447265625,4,0.00900180172175169,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,0.548581063747406,0.0136822909116745,8.323599815368652,3,0.031822558492422104,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.1.self_attn,1,hadamard_lm,randortho_lm_k3v4,0.9642397165298462,0.07128196209669113,random_orthogonal,0.13475845754146576,0.0136822909116745,0.03978718817234039,0.8648681640625,4,0.00900180172175169,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,0.14825940132141113,0.0033691078424453735,2.1017141342163086,4,0.008814661763608456,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.1.self_attn,1,hadamard_lm,randortho_lm_k4v3,0.9761493802070618,0.04732115566730499,random_orthogonal,0.03318273276090622,0.0033691078424453735,0.010431407019495964,0.9283447265625,3,0.03234443441033363,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.2.self_attn,2,fp16,fp16,1.0000191926956177,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.010560108348727226,0.008329006843268871,2.2537524700164795,4,0.01303152833133936,per_token_head_absmax,absmax_per_token_head,none,model.layers.2.self_attn,2,absmax,absmax_k4v4,0.979638397693634,0.04285108670592308,none,0.03521662577986717,0.008329006843268871,0.011659136041998863,0.924243152141571,4,0.01620502397418022,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.12768930196762085,0.0065598455257713795,1.758817195892334,4,0.0092901811003685,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k4v4,0.9878474473953247,0.024276738986372948,hadamard,0.027736276388168335,0.0065598455257713795,0.007865681312978268,0.93701171875,4,0.009321643970906734,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.3113171458244324,0.024292102083563805,6.476625919342041,3,0.034195031970739365,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k3v4,0.9698967337608337,0.06012390926480293,hadamard,0.10271163284778595,0.024292102083563805,0.028968365862965584,0.889599621295929,4,0.009321643970906734,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.12768930196762085,0.0065598455257713795,1.758817195892334,4,0.0092901811003685,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.2.self_attn,2,hadamard_lm,hadamard_lm_k4v3,0.9752436280250549,0.04921980947256088,hadamard,0.027736276388168335,0.0065598455257713795,0.007865681312978268,0.93701171875,3,0.03328685462474823,per_token_head_rms
K4V4,randomized Hadamard non-uniform KV fake quant,0.017534084618091583,0.00612036744132638,1.655889630317688,4,0.009293900802731514,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.2.self_attn,2,hadamard_lm,randhadamard_lm_k4v4,0.9886412024497986,0.022624514997005463,randomized_hadamard,0.02587807923555374,0.00612036744132638,0.007945914752781391,0.9365478754043579,4,0.008952433243393898,per_token_head_rms
K3V4,randomized Hadamard key bit reduction,0.15682965517044067,0.02276555635035038,6.135859489440918,3,0.0337652750313282,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.2.self_attn,2,hadamard_lm,randhadamard_lm_k3v4,0.9693347811698914,0.0604374036192894,randomized_hadamard,0.09625710546970367,0.02276555635035038,0.03065146878361702,0.882128894329071,4,0.008952433243393898,per_token_head_rms
K4V3,randomized Hadamard value bit reduction,0.017534084618091583,0.00612036744132638,1.655889630317688,4,0.009293900802731514,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.2.self_attn,2,hadamard_lm,randhadamard_lm_k4v3,0.9766967296600342,0.046122901141643524,randomized_hadamard,0.02587807923555374,0.00612036744132638,0.007945914752781391,0.9365478754043579,3,0.03241121768951416,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,0.07467460632324219,0.0062090507708489895,1.6746187210083008,4,0.008910457603633404,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.2.self_attn,2,hadamard_lm,randortho_lm_k4v4,0.9877234697341919,0.02444903738796711,random_orthogonal,0.026253048330545425,0.0062090507708489895,0.007684499025344849,0.9378417730331421,4,0.009298118762671947,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,0.37617361545562744,0.022976312786340714,6.075979709625244,3,0.033427927643060684,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.2.self_attn,2,hadamard_lm,randortho_lm_k3v4,0.9648182392120361,0.07014765590429306,random_orthogonal,0.09714822471141815,0.022976312786340714,0.02735542692244053,0.885815441608429,4,0.009298118762671947,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,0.07467460632324219,0.0062090507708489895,1.6746187210083008,4,0.008910457603633404,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.2.self_attn,2,hadamard_lm,randortho_lm_k4v3,0.9754911065101624,0.04845394939184189,random_orthogonal,0.026253048330545425,0.0062090507708489895,0.007684499025344849,0.9378417730331421,3,0.03352891653776169,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.3.self_attn,3,fp16,fp16,1.000016212463379,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.26413774490356445,0.006080280523747206,10.451309204101562,4,0.03183538839221001,per_token_head_absmax,absmax_per_token_head,none,model.layers.3.self_attn,3,absmax,absmax_k4v4,0.9468963742256165,0.12057578563690186,none,0.16439184546470642,0.006080280523747206,0.012426980771124363,0.848437488079071,4,0.014128975570201874,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.28182485699653625,0.002036274876445532,3.4440648555755615,4,0.008826357312500477,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v4,0.9832004308700562,0.035418801009655,hadamard,0.05505453050136566,0.002036274876445532,0.004050524439662695,0.9117676019668579,4,0.008882631547749043,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,1.093826174736023,0.00737726641818881,11.568876266479492,3,0.032267771661281586,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k3v4,0.9433658719062805,0.12592099606990814,hadamard,0.1994583010673523,0.00737726641818881,0.01608235202729702,0.837695300579071,4,0.008882631547749043,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.28182485699653625,0.002036274876445532,3.4440648555755615,4,0.008826357312500477,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v3,0.9742134213447571,0.053192827850580215,hadamard,0.05505453050136566,0.002036274876445532,0.004050524439662695,0.9117676019668579,3,0.03255174309015274,per_token_head_rms
K4V4,randomized Hadamard non-uniform KV fake quant,0.13379448652267456,0.0020555614028126,3.53896164894104,4,0.008880269713699818,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.3.self_attn,3,hadamard_lm,randhadamard_lm_k4v4,0.9822986125946045,0.03643899783492088,randomized_hadamard,0.05557597428560257,0.0020555614028126,0.004132925532758236,0.9073486328125,4,0.00901474803686142,per_token_head_rms
K3V4,randomized Hadamard key bit reduction,0.8712358474731445,0.007389508653432131,12.027462005615234,3,0.03166196495294571,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.3.self_attn,3,hadamard_lm,randhadamard_lm_k3v4,0.9457761645317078,0.13809800148010254,randomized_hadamard,0.19978928565979004,0.007389508653432131,0.0156557559967041,0.8392089605331421,4,0.00901474803686142,per_token_head_rms
K4V3,randomized Hadamard value bit reduction,0.13379448652267456,0.0020555614028126,3.53896164894104,4,0.008880269713699818,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.3.self_attn,3,hadamard_lm,randhadamard_lm_k4v3,0.9747878313064575,0.05119235813617706,randomized_hadamard,0.05557597428560257,0.0020555614028126,0.004132925532758236,0.9073486328125,3,0.03337428346276283,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,0.21778526902198792,0.0018861072603613138,3.216215133666992,4,0.008932402357459068,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.3.self_attn,3,hadamard_lm,randortho_lm_k4v4,0.9844216108322144,0.03271976113319397,random_orthogonal,0.05099446326494217,0.0018861072603613138,0.0035888811107724905,0.912353515625,4,0.009293344803154469,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,0.9770073890686035,0.0072257025167346,11.548526763916016,3,0.03263736516237259,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.3.self_attn,3,hadamard_lm,randortho_lm_k3v4,0.9494473934173584,0.11277996003627777,random_orthogonal,0.1953604817390442,0.0072257025167346,0.01501833088696003,0.837109386920929,4,0.009293344803154469,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,0.21778526902198792,0.0018861072603613138,3.216215133666992,4,0.008932402357459068,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.3.self_attn,3,hadamard_lm,randortho_lm_k4v3,0.975361704826355,0.049786705523729324,random_orthogonal,0.05099446326494217,0.0018861072603613138,0.0035888811107724905,0.912353515625,3,0.03378947079181671,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.4.self_attn,4,fp16,fp16,1.0000324249267578,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,0.11523464322090149,0.009300010278820992,20.250288009643555,4,0.03934658318758011,per_token_head_absmax,absmax_per_token_head,none,model.layers.4.self_attn,4,absmax,absmax_k4v4,0.9394216537475586,0.1593603789806366,none,0.3166182041168213,0.009300010278820992,0.019462672993540764,0.833056628704071,4,0.015833010897040367,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.19771185517311096,0.002006750088185072,4.33336877822876,4,0.008769326843321323,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v4,0.9845169186592102,0.030983610078692436,hadamard,0.0683196634054184,0.002006750088185072,0.00365458894520998,0.913012683391571,4,0.009233917109668255,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.7919647097587585,0.007632104679942131,16.002197265625,3,0.03126704320311546,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k3v4,0.9524675607681274,0.10897412151098251,hadamard,0.2598344683647156,0.007632104679942131,0.012665677815675735,0.846606433391571,4,0.009233917109668255,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.19771185517311096,0.002006750088185072,4.33336877822876,4,0.008769326843321323,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v3,0.9758673906326294,0.047751814126968384,hadamard,0.0683196634054184,0.002006750088185072,0.00365458894520998,0.913012683391571,3,0.0339827723801136,per_token_head_rms
K4V4,randomized Hadamard non-uniform KV fake quant,0.281034916639328,0.002260468900203705,4.846299648284912,4,0.00880471058189869,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.4.self_attn,4,hadamard_lm,randhadamard_lm_k4v4,0.9836760759353638,0.03256373852491379,randomized_hadamard,0.07695750147104263,0.002260468900203705,0.0036512946244329214,0.9117187261581421,4,0.009559456259012222,per_token_head_rms
K3V4,randomized Hadamard key bit reduction,1.0097898244857788,0.008178086951375008,16.799358367919922,3,0.03171540051698685,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.4.self_attn,4,hadamard_lm,randhadamard_lm_k3v4,0.9594299793243408,0.08713411539793015,randomized_hadamard,0.27842238545417786,0.008178086951375008,0.012460657395422459,0.847412109375,4,0.009559456259012222,per_token_head_rms
K4V3,randomized Hadamard value bit reduction,0.281034916639328,0.002260468900203705,4.846299648284912,4,0.00880471058189869,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.4.self_attn,4,hadamard_lm,randhadamard_lm_k4v3,0.9756188988685608,0.04823746532201767,randomized_hadamard,0.07695750147104263,0.002260468900203705,0.0036512946244329214,0.9117187261581421,3,0.03433743491768837,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,0.2720526456832886,0.0019884880166500807,4.258655548095703,4,0.009270977228879929,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.4.self_attn,4,hadamard_lm,randortho_lm_k4v4,0.98459392786026,0.03156570717692375,random_orthogonal,0.0676979348063469,0.0019884880166500807,0.003294639987871051,0.9144531488418579,4,0.009099656715989113,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,1.0597774982452393,0.008020240813493729,16.351978302001953,3,0.03407732769846916,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.4.self_attn,4,hadamard_lm,randortho_lm_k3v4,0.9527333378791809,0.10634450614452362,random_orthogonal,0.2730485200881958,0.008020240813493729,0.014002240262925625,0.837695300579071,4,0.009099656715989113,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,0.2720526456832886,0.0019884880166500807,4.258655548095703,4,0.009270977228879929,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.4.self_attn,4,hadamard_lm,randortho_lm_k4v3,0.9759154915809631,0.04830823466181755,random_orthogonal,0.0676979348063469,0.0019884880166500807,0.003294639987871051,0.9144531488418579,3,0.03296497091650963,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.5.self_attn,5,fp16,fp16,1.0000399351119995,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,0.206171452999115,0.010805192403495312,20.728919982910156,4,0.04249517619609833,per_token_head_absmax,absmax_per_token_head,none,model.layers.5.self_attn,5,absmax,absmax_k4v4,0.9156435132026672,0.20288880169391632,none,0.32455354928970337,0.010805192403495312,0.02264433726668358,0.833569347858429,4,0.015384798869490623,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.11683065444231033,0.002284761518239975,4.378475189208984,4,0.008556400425732136,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v4,0.9793687462806702,0.04676983878016472,hadamard,0.06862695515155792,0.002284761518239975,0.005123017355799675,0.9071289300918579,4,0.009401187300682068,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.8016536235809326,0.008897621184587479,16.461748123168945,3,0.031104257330298424,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k3v4,0.9356927275657654,0.1388513296842575,hadamard,0.2672562003135681,0.008897621184587479,0.01763674058020115,0.8395019769668579,4,0.009401187300682068,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.11683065444231033,0.002284761518239975,4.378475189208984,4,0.008556400425732136,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v3,0.9709469676017761,0.0625336766242981,hadamard,0.06862695515155792,0.002284761518239975,0.005123017355799675,0.9071289300918579,3,0.03446611762046814,per_token_head_rms
