a_bits,block_size,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_block_size,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,mxfp4_group_size,o_proj_domain_block_size,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.0.self_attn,0,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.09672209620475769,0.0314871184527874,2.13789963722229,4,0.015305165201425552,0.02343263290822506,K4V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9916833639144897,0.021588681265711784,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9391530752182007,0.11876754462718964,0.9391516447067261,0.118767648935318,0.9826748967170715,0.03454464394599199,0.014167378656566143,0.03355085477232933,0.0314871184527874,0.0070249768905341625,0.8774169683456421,4,0.07416138797998428,o_proj_absorb,0.08212114125490189,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,-0.03523612394928932,0.013288524001836777,0.904965341091156,4,0.003256599884480238,0.011481801979243755,K4V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9789538383483887,0.04872480779886246,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.8148947358131409,0.46869927644729614,0.8148931264877319,0.4686982333660126,0.9655579527219137,0.07798763690516353,0.0034197187051177025,0.014159482903778553,0.013288524001836777,0.00445442833006382,0.9084717035293579,4,0.22728659212589264,o_proj_absorb,0.23447507619857788,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,-0.0767226442694664,0.011530344374477863,0.780422031879425,4,0.0020502496045082808,0.010130830109119415,K4V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9891458749771118,0.022674765437841415,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.8720730543136597,0.29043322801589966,0.8720719218254089,0.29043179750442505,0.977645993232727,0.047563466088225446,0.001872876426205039,0.012286068871617317,0.011530344374477863,0.003867026185616851,0.927490234375,4,0.138767272233963,o_proj_absorb,0.14649777114391327,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,-0.044089820235967636,0.03085264563560486,2.1020429134368896,3,0.004596959333866835,0.034138526767492294,K3V4,64,hadamard_lm,hadamard,model.layers.0.self_attn,0,0.9624117612838745,0.07795938104391098,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.6837688088417053,0.9789543151855469,0.6837676763534546,0.9789506196975708,0.9452289938926697,0.13587245112285018,0.0031921686604619026,0.03287479653954506,0.03085264563560486,0.010329870507121086,0.88037109375,4,0.3998282253742218,o_proj_absorb,0.40870967507362366,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.1.self_attn,1,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7511560916900635,0.026822157204151154,13.84062385559082,4,0.015217702835798264,0.024922022596001625,K4V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.9103655815124512,0.17264911532402039,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.8569299578666687,0.28058406710624695,0.856927752494812,0.2805846929550171,0.9776656230290731,0.04533167245487372,0.017208663746714592,0.26417452096939087,0.026822157204151154,0.035357534885406494,0.8854736089706421,4,0.1035686507821083,o_proj_absorb,0.1110781654715538,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.0611140727996826,0.012755172327160835,6.914175510406494,4,0.0034651265013962984,0.013314112089574337,K4V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.8367555737495422,0.3402029573917389,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.6106488704681396,1.3243980407714844,0.6106477975845337,1.3243972063064575,0.9575470685958862,0.09948764718137681,0.005753759294748306,0.12562716007232666,0.012755172327160835,0.020953578874468803,0.9046386480331421,4,0.28924405574798584,o_proj_absorb,0.29742106795310974,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.6249270439147949,0.007074886932969093,4.0690741539001465,4,0.0014204212930053473,0.011283616535365582,K4V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.881372332572937,0.2539331912994385,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.6894734501838684,0.9777291417121887,0.689471960067749,0.977729082107544,0.9684173464775085,0.07198015709097187,0.002817896893247962,0.06968137621879578,0.007074886932969093,0.016172291710972786,0.9180663824081421,4,0.2117021530866623,o_proj_absorb,0.21999214589595795,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,1.5428142547607422,0.0246296189725399,13.144843101501465,3,0.0029243160970509052,0.038410719484090805,K3V4,64,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.6827093362808228,0.7951824069023132,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.4170779883861542,3.617546319961548,0.41707688570022583,3.617546558380127,0.9281783501307169,0.19041291500131288,0.006699319463223219,0.24257996678352356,0.0246296189725399,0.041457511484622955,0.863696277141571,4,0.5616151094436646,o_proj_absorb,0.5676173567771912,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.2.self_attn,2,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.4039478600025177,0.018731199204921722,4.905566692352295,4,0.0077926162630319595,0.017205484211444855,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9409933090209961,0.11475428938865662,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.8688568472862244,0.2667262852191925,0.8688550591468811,0.2667250633239746,0.9785792827606201,0.04265542017916838,0.00990249589085579,0.07919907569885254,0.018731199204921722,0.021541226655244827,0.902514636516571,4,0.1102711483836174,o_proj_absorb,0.11827714741230011,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,0.5034587383270264,0.012031743302941322,3.0023691654205322,4,0.0024152637924999,0.01168802846223116,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9143935441970825,0.1685120165348053,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.7416220307350159,0.7299895286560059,0.7416201829910278,0.7299911975860596,0.9761061072349548,0.05104175590289136,0.004698070231825113,0.050872500985860825,0.012031743302941322,0.013445854187011719,0.922680675983429,4,0.14601193368434906,o_proj_absorb,0.15508456528186798,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.33639371395111084,0.009734349325299263,2.5209949016571045,4,0.0013130399165675044,0.010599714703857899,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9441237449645996,0.10996924340724945,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.8014983534812927,0.4945179522037506,0.801496684551239,0.4945181906223297,0.983262856801351,0.03529841386868308,0.0029918812215328217,0.041158683598041534,0.009734349325299263,0.010786164551973343,0.9299072027206421,4,0.10159032046794891,o_proj_absorb,0.11022411286830902,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.7230410575866699,0.031238436698913574,7.930463790893555,3,0.0035364963114261627,0.037479229271411896,K3V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.8029930591583252,0.40357017517089844,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.5330524444580078,1.840091347694397,0.5330516695976257,1.840095043182373,0.958768884340922,0.09201326407492161,0.007726738229393959,0.13208205997943878,0.031238436698913574,0.035339243710041046,0.881152331829071,4,0.2647765576839447,o_proj_absorb,0.2727251648902893,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.3.self_attn,3,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.0742759704589844,0.00721535412594676,8.18254280090332,4,0.006044476293027401,0.014755775220692158,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.947778046131134,0.1141161322593689,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9335323572158813,0.1557672917842865,0.9335309267044067,0.15576575696468353,0.9901997645696005,0.019814895155529182,0.006139678880572319,0.1950806975364685,0.00721535412594676,0.012335273437201977,0.877148449420929,4,0.047260530292987823,o_proj_absorb,0.055509909987449646,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.6624865531921387,0.004279798828065395,4.641733646392822,4,0.002447983715683222,0.01115332916378975,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9526061415672302,0.10941796749830246,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9338675141334534,0.1574854850769043,0.9338657259941101,0.15748412907123566,0.9931771755218506,0.013827039394527674,0.0031055929139256477,0.11571242660284042,0.004279798828065395,0.00853072851896286,0.8984375,4,0.03592754155397415,o_proj_absorb,0.04469356685876846,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.1826595067977905,0.003152836812660098,4.05686092376709,4,0.0015561188338324428,0.01029765885323286,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.963314414024353,0.08151929825544357,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9495071768760681,0.11587652564048767,0.9495049118995667,0.11587636172771454,0.9953462680180868,0.00935945399881651,0.0019652077462524176,0.08524288237094879,0.003152836812660098,0.006688193418085575,0.9020751714706421,4,0.02455703541636467,o_proj_absorb,0.03322808817028999,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.4738142490386963,0.014545872807502747,13.102219581604004,3,0.004373947624117136,0.036164961755275726,K3V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9040312767028809,0.23539572954177856,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8733828067779541,0.37614503502845764,0.8733810782432556,0.37614375352859497,0.9888795614242554,0.022586339463790257,0.005181749816983938,0.39327508211135864,0.014545872807502747,0.028482859954237938,0.8314453363418579,4,0.0582033209502697,o_proj_absorb,0.06670677661895752,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.4.self_attn,4,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.3013968467712402,0.007191197946667671,10.372298240661621,4,0.006746171973645687,0.015391341410577297,K4V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9447730779647827,0.13120026886463165,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.942733645439148,0.14454568922519684,0.9427312016487122,0.14454667270183563,0.9905817707379659,0.019044033251702785,0.007188012823462486,0.24482382833957672,0.007191197946667671,0.011921504512429237,0.881591796875,4,0.04319791495800018,o_proj_absorb,0.05226319655776024,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.5708038806915283,0.004195303190499544,6.673618793487549,4,0.0037110047414898872,0.012364516034722328,K4V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9497387409210205,0.10791190713644028,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9442042112350464,0.12610845267772675,0.9442011117935181,0.12611037492752075,0.9931546250979105,0.013816401828080416,0.0043331836350262165,0.1428288072347641,0.004195303190499544,0.006867910735309124,0.8958740234375,4,0.03340501710772514,o_proj_absorb,0.04242490604519844,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.9656447172164917,0.003236525459215045,6.119516849517822,4,0.0023650857619941235,0.011120428331196308,K4V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9623064994812012,0.07638994604349136,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.954060971736908,0.09445910155773163,0.9540582895278931,0.09445931017398834,0.995416541894277,0.009194826940074563,0.0028029654640704393,0.11018728464841843,0.003236525459215045,0.0053375475108623505,0.899365246295929,4,0.022416429594159126,o_proj_absorb,0.03141740337014198,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.0055530071258545,0.012414156459271908,18.015548706054688,3,0.006411348469555378,0.03700758144259453,K3V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.8980046510696411,0.24122202396392822,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8902446627616882,0.2880711257457733,0.8902431726455688,0.2880706489086151,0.989118774731954,0.02199082278336088,0.007026148494333029,0.42263907194137573,0.012414156459271908,0.021710634231567383,0.8330078125,4,0.05253497138619423,o_proj_absorb,0.06163722276687622,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.5.self_attn,5,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.8945473432540894,0.006827022414654493,9.534658432006836,4,0.005584601312875748,0.014014022424817085,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.934157133102417,0.16747888922691345,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9315580129623413,0.1893399953842163,0.9315544366836548,0.18933825194835663,0.9908241828282675,0.018634264046947163,0.006071543321013451,0.20506200194358826,0.006827022414654493,0.015703342854976654,0.887451171875,4,0.044246647506952286,o_proj_absorb,0.05357949808239937,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.830430269241333,0.005149343516677618,6.548397064208984,4,0.002962981816381216,0.01140682864934206,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.9486045241355896,0.12571489810943604,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.937940776348114,0.15944071114063263,0.937937319278717,0.15943850576877594,0.9933063387870789,0.013530177297070622,0.003657376626506448,0.1546698659658432,0.005149343516677618,0.010019049979746342,0.896484375,4,0.033970173448324203,o_proj_absorb,0.042879778891801834,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.8719792366027832,0.0034142732620239258,5.803101062774658,4,0.0018121286993846297,0.010303640738129616,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.957166314125061,0.09202667325735092,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9505952000617981,0.11373135447502136,0.9505913853645325,0.11373066157102585,0.9954979221026102,0.009027636415945986,0.002350620925426483,0.10255388915538788,0.0034142732620239258,0.00746315810829401,0.8962646722793579,4,0.022920159623026848,o_proj_absorb,0.032354686409235,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,2.769293785095215,0.013310765847563744,17.919044494628906,3,0.005318889860063791,0.03574937582015991,K3V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.8879607915878296,0.2808128893375397,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8698108792304993,0.3459504544734955,0.8698075413703918,0.345948189496994,0.9889430006345113,0.02235064748674631,0.006044596899300814,0.3998129963874817,0.013310765847563744,0.025685010477900505,0.834912121295929,4,0.05568845570087433,o_proj_absorb,0.06467336416244507,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.6.self_attn,6,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.669679045677185,0.006914351135492325,12.567240715026855,4,0.005028602667152882,0.013779704459011555,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9411690831184387,0.13839058578014374,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9391535520553589,0.14876008033752441,0.9391506314277649,0.14876121282577515,0.9899890422821045,0.02020727765435974,0.006339338142424822,0.23992295563220978,0.006914351135492325,0.02073477767407894,0.882153332233429,4,0.04925389215350151,o_proj_absorb,0.05787106975913048,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.6270411014556885,0.004942015744745731,8.327736854553223,4,0.002738561714068055,0.011401969939470291,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9458187222480774,0.11172462999820709,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.942791223526001,0.1248326525092125,0.9427890181541443,0.12483210116624832,0.9926942189534506,0.014785066014155746,0.0036458810791373253,0.1714843511581421,0.004942015744745731,0.012952509336173534,0.8931884765625,4,0.037970755249261856,o_proj_absorb,0.04654686152935028,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.148833990097046,0.004103808663785458,7.793727397918701,4,0.0018482147715985775,0.010585354641079903,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9566277265548706,0.08825293928384781,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9536789059638977,0.09837307780981064,0.9536757469177246,0.09837406873703003,0.9949976007143656,0.01010240699785451,0.002369863213971257,0.14239917695522308,0.004103808663785458,0.010826067999005318,0.895190417766571,4,0.026089143007993698,o_proj_absorb,0.034870587289333344,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.3146777153015137,0.0156930610537529,23.863330841064453,3,0.00537957763299346,0.03570689260959625,K3V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.8934242725372314,0.2316693365573883,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8817472457885742,0.28008532524108887,0.881743848323822,0.2800886332988739,0.9878674546877543,0.024786181282252073,0.006231279112398624,0.5445377826690674,0.0156930610537529,0.03729186952114105,0.8290771245956421,4,0.06274768710136414,o_proj_absorb,0.07121028006076813,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.7.self_attn,7,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
