layer_index,method_key,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,layer_output_relative_mse,layer_output_cosine
0,attn_direct_absmax_w4a4_absmax_k4v4,0.29660678406556445,0.26950737833976746,0.08255413174629211,0.2769775390625,0.2613646984100342,0.8976316452026367
0,attn_rot_absmax_w4a4_hlm_k4v4,0.4434821115185817,0.045816197991371155,0.01570424996316433,0.58154296875,0.17751537263393402,0.9069627523422241
0,attn_rot_lm_w3a4_hlm_k3v4,0.15899886097759008,0.027693936601281166,0.015327014029026031,0.8044677972793579,0.11776000261306763,0.9422012567520142
0,attn_rot_lm_w4a3_hlm_k4v3,0.14428472984582186,0.02385963313281536,0.006687001790851355,0.812670886516571,0.05293106660246849,0.9774143695831299
0,attn_rot_lm_w4a4_hlm_k4v4,0.05857976068121692,0.0075341020710766315,0.0029101052787154913,0.879467785358429,0.024566233158111572,0.9877647757530212
0,fp16,0.0,0.0,0.0,1.0,0.0,1.0
1,attn_direct_absmax_w4a4_absmax_k4v4,0.37429992357889813,0.1206694096326828,0.2595767378807068,0.5572754144668579,0.9845076203346252,0.21331168711185455
1,attn_rot_absmax_w4a4_hlm_k4v4,0.48872567775348824,0.08295046538114548,0.07083886861801147,0.7652587890625,4.930294036865234,0.34061551094055176
1,attn_rot_lm_w3a4_hlm_k3v4,0.1819345036831995,0.022040875628590584,0.05027363449335098,0.7875732183456421,0.9213231801986694,0.6477901935577393
1,attn_rot_lm_w4a3_hlm_k4v3,0.20144503470510244,0.014321776106953621,0.031729817390441895,0.8146728277206421,0.6128931045532227,0.7517712116241455
1,attn_rot_lm_w4a4_hlm_k4v4,0.08250848279567435,0.0067816018126904964,0.01684076525270939,0.8663574457168579,0.3726659119129181,0.833267092704773
1,fp16,0.0,0.0,0.0,1.0,0.0,1.0
2,attn_direct_absmax_w4a4_absmax_k4v4,0.36555323625604313,0.1533660590648651,0.19800834357738495,0.611621081829071,1.001711368560791,0.23300005495548248
2,attn_rot_absmax_w4a4_hlm_k4v4,0.23048600057760874,0.044891998171806335,0.04388926923274994,0.809252917766571,2.527055263519287,0.30367740988731384
2,attn_rot_lm_w3a4_hlm_k3v4,0.0883996117239197,0.03396080806851387,0.040457744151353836,0.8255615234375,0.5181275010108948,0.7353099584579468
2,attn_rot_lm_w4a3_hlm_k4v3,0.08203904571322103,0.01516955066472292,0.018343832343816757,0.874951183795929,0.25329479575157166,0.870245099067688
2,attn_rot_lm_w4a4_hlm_k4v4,0.03684958602146556,0.010644237510859966,0.013010651804506779,0.8939208984375,0.16340896487236023,0.9176701307296753
2,fp16,0.0,0.0,0.0,1.0,0.0,1.0
3,attn_direct_absmax_w4a4_absmax_k4v4,0.24373974899450937,0.027084549888968468,0.21228787302970886,0.5560547113418579,0.8990392684936523,0.47959116101264954
3,attn_rot_absmax_w4a4_hlm_k4v4,0.04903797215471665,0.03191310167312622,0.05519477277994156,0.7704101800918579,0.8109901547431946,0.6835066080093384
3,attn_rot_lm_w3a4_hlm_k3v4,0.023657595893989008,0.014381264336407185,0.09521484375,0.695751965045929,0.15565630793571472,0.918915331363678
3,attn_rot_lm_w4a3_hlm_k4v3,0.022398045208926003,0.005327526479959488,0.035603638738393784,0.8098388910293579,0.09587959945201874,0.9519336223602295
3,attn_rot_lm_w4a4_hlm_k4v4,0.009862123018441101,0.0032997983507812023,0.030768785625696182,0.8211669921875,0.05382688716053963,0.9727168083190918
3,fp16,0.0,0.0,0.0,1.0,0.0,1.0
4,attn_direct_absmax_w4a4_absmax_k4v4,0.27897491057713825,0.03922500088810921,0.41617435216903687,0.584716796875,1.4566694498062134,0.2615458369255066
4,attn_rot_absmax_w4a4_hlm_k4v4,0.07367178207884233,0.019903142005205154,0.10679453611373901,0.776684582233429,1.6402584314346313,0.49201133847236633
4,attn_rot_lm_w3a4_hlm_k3v4,0.02981287178893884,0.012233092449605465,0.18370963633060455,0.723559558391571,0.23073597252368927,0.8810170888900757
4,attn_rot_lm_w4a3_hlm_k4v3,0.028129868675023317,0.005175734870135784,0.06906566023826599,0.8231445550918579,0.16506852209568024,0.9139809608459473
4,attn_rot_lm_w4a4_hlm_k4v4,0.012456266054262718,0.0029449532739818096,0.055221132934093475,0.8359375,0.09305490553379059,0.9523775577545166
4,fp16,0.0,0.0,0.0,1.0,0.0,1.0
5,attn_direct_absmax_w4a4_absmax_k4v4,0.35603006556630135,0.0391070619225502,0.35413122177124023,0.588427722454071,1.2304400205612183,0.22186534106731415
5,attn_rot_absmax_w4a4_hlm_k4v4,0.08395282551646233,0.07930443435907364,0.11253262311220169,0.7385498285293579,1.0313708782196045,0.6143929362297058
5,attn_rot_lm_w3a4_hlm_k3v4,0.03412204748019576,0.01271215733140707,0.1645973175764084,0.699633777141571,0.15663032233715057,0.9186737537384033
5,attn_rot_lm_w4a3_hlm_k4v3,0.03470293851569295,0.006256819702684879,0.06371518224477768,0.799023449420929,0.11381395906209946,0.9440461993217468
5,attn_rot_lm_w4a4_hlm_k4v4,0.01548609610957404,0.0031521248165518045,0.060651518404483795,0.809985339641571,0.06514755636453629,0.9668956398963928
5,fp16,0.0,0.0,0.0,1.0,0.0,1.0
6,attn_direct_absmax_w4a4_absmax_k4v4,0.27343189467986423,0.06320444494485855,0.3285180628299713,0.5638427734375,1.343686580657959,0.2802816927433014
6,attn_rot_absmax_w4a4_hlm_k4v4,0.07920673675835133,0.09290951490402222,0.10452218353748322,0.7593749761581421,1.3825205564498901,0.5358666181564331
6,attn_rot_lm_w3a4_hlm_k3v4,0.032100724832465254,0.011697040870785713,0.1438397765159607,0.7212158441543579,0.1914757937192917,0.9022589921951294
6,attn_rot_lm_w4a3_hlm_k4v3,0.03392091393470764,0.006428868044167757,0.05112972855567932,0.824877917766571,0.15104296803474426,0.9221612215042114
6,attn_rot_lm_w4a4_hlm_k4v4,0.015995856452112395,0.003331628628075123,0.04438035562634468,0.8438476324081421,0.08747009932994843,0.9552903175354004
6,fp16,0.0,0.0,0.0,1.0,0.0,1.0
7,attn_direct_absmax_w4a4_absmax_k4v4,0.4896222601334254,0.15549787878990173,0.47535112500190735,0.3625732362270355,1.6006520986557007,0.11670385301113129
7,attn_rot_absmax_w4a4_hlm_k4v4,0.14434105716645718,0.07261474430561066,0.13360974192619324,0.6527099609375,1.4723197221755981,0.5884807109832764
7,attn_rot_lm_w3a4_hlm_k3v4,0.05418145237490535,0.017303239554166794,0.1608514040708542,0.6181885004043579,0.30218860507011414,0.8534252643585205
7,attn_rot_lm_w4a3_hlm_k4v3,0.05000430873284737,0.007502581924200058,0.057499390095472336,0.7554687261581421,0.15633141994476318,0.9186981320381165
7,attn_rot_lm_w4a4_hlm_k4v4,0.022484073182567954,0.004797718022018671,0.04926294833421707,0.7743164300918579,0.09563672542572021,0.9527077674865723
7,fp16,0.0,0.0,0.0,1.0,0.0,1.0
8,attn_direct_absmax_w4a4_absmax_k4v4,0.35672032584746677,0.14398330450057983,0.6120445728302002,0.3985351622104645,1.4932692050933838,-0.05144224688410759
8,attn_rot_absmax_w4a4_hlm_k4v4,0.11279317612449329,0.05355067923665047,0.21454459428787231,0.6851806640625,1.9073342084884644,0.5544916391372681
8,attn_rot_lm_w3a4_hlm_k3v4,0.036200240875283875,0.015266284346580505,0.11961245536804199,0.680737316608429,0.2615513205528259,0.8788337111473083
8,attn_rot_lm_w4a3_hlm_k4v3,0.036008283806343876,0.005455876234918833,0.04475761950016022,0.803271472454071,0.1762702316045761,0.9088449478149414
8,attn_rot_lm_w4a4_hlm_k4v4,0.01621015090495348,0.002800660440698266,0.031150076538324356,0.8253173828125,0.09257042407989502,0.9536516666412354
8,fp16,0.0,0.0,0.0,1.0,0.0,1.0
9,attn_direct_absmax_w4a4_absmax_k4v4,0.33826817696293193,0.14256063103675842,0.5696499347686768,0.546704113483429,1.786761999130249,0.2782418131828308
9,attn_rot_absmax_w4a4_hlm_k4v4,0.08249099397410949,0.03447863832116127,0.18999707698822021,0.7533203363418579,1.2234456539154053,0.6928409337997437
9,attn_rot_lm_w3a4_hlm_k3v4,0.03878133790567517,0.014176196418702602,0.15599317848682404,0.691723644733429,0.2690693438053131,0.8778141736984253
9,attn_rot_lm_w4a3_hlm_k4v3,0.03554756287485361,0.006129350513219833,0.05581480637192726,0.8094482421875,0.1749536097049713,0.911361038684845
9,attn_rot_lm_w4a4_hlm_k4v4,0.016125728958286345,0.0036309785209596157,0.044227614998817444,0.8254150152206421,0.09784279763698578,0.9531582593917847
9,fp16,0.0,0.0,0.0,1.0,0.0,1.0
10,attn_direct_absmax_w4a4_absmax_k4v4,0.42029644797245663,0.10869761556386948,0.4414293169975281,0.531542956829071,1.6755390167236328,0.25032615661621094
10,attn_rot_absmax_w4a4_hlm_k4v4,0.1065159806360801,0.07268767058849335,0.335528701543808,0.706298828125,1.7956889867782593,0.6112411618232727
10,attn_rot_lm_w3a4_hlm_k3v4,0.049250210635364056,0.015834156423807144,0.2047087848186493,0.6675781011581421,0.3281919062137604,0.8542919158935547
10,attn_rot_lm_w4a3_hlm_k4v3,0.04465049117182692,0.006114744581282139,0.06165275722742081,0.797924816608429,0.17054039239883423,0.9115598201751709
10,attn_rot_lm_w4a4_hlm_k4v4,0.020249588104585808,0.003981937654316425,0.04982392117381096,0.804394543170929,0.09827937930822372,0.9512532949447632
10,fp16,0.0,0.0,0.0,1.0,0.0,1.0
11,attn_direct_absmax_w4a4_absmax_k4v4,0.3637133985757828,0.14518558979034424,0.4506210684776306,0.4349365234375,1.3336257934570312,0.16011637449264526
11,attn_rot_absmax_w4a4_hlm_k4v4,0.11147719621658325,0.04377720504999161,0.15832604467868805,0.658862292766571,1.2211978435516357,0.6487971544265747
11,attn_rot_lm_w3a4_hlm_k3v4,0.04039423385014137,0.0164375938475132,0.13078060746192932,0.663281261920929,0.18989180028438568,0.9069706201553345
11,attn_rot_lm_w4a3_hlm_k4v3,0.038346937547127403,0.00832606665790081,0.05974654108285904,0.760546863079071,0.12983198463916779,0.9328380227088928
11,attn_rot_lm_w4a4_hlm_k4v4,0.016987599975739915,0.004612192045897245,0.04169224947690964,0.793408215045929,0.07076852023601532,0.9647934436798096
11,fp16,0.0,0.0,0.0,1.0,0.0,1.0
12,attn_direct_absmax_w4a4_absmax_k4v4,0.40229544291893643,0.09149947017431259,0.503044843673706,0.4809326231479645,1.3909538984298706,0.1306578516960144
12,attn_rot_absmax_w4a4_hlm_k4v4,0.12092885902772348,0.035673946142196655,0.14617136120796204,0.6921631097793579,1.7197768688201904,0.5565691590309143
12,attn_rot_lm_w3a4_hlm_k3v4,0.05181692416469256,0.020313236862421036,0.16222237050533295,0.639111340045929,0.2578231990337372,0.8769090175628662
12,attn_rot_lm_w4a3_hlm_k4v3,0.051102742397536836,0.007422902155667543,0.05776292830705643,0.772290050983429,0.1691291332244873,0.913512110710144
12,attn_rot_lm_w4a4_hlm_k4v4,0.022293508091631036,0.004953895229846239,0.04740624129772186,0.768237292766571,0.09539666771888733,0.9515410661697388
12,fp16,0.0,0.0,0.0,1.0,0.0,1.0
13,attn_direct_absmax_w4a4_absmax_k4v4,0.3836966852347056,0.1769304722547531,0.43375611305236816,0.42216795682907104,1.550183653831482,0.12406578660011292
13,attn_rot_absmax_w4a4_hlm_k4v4,0.10893590872486432,0.03281237930059433,0.11343204975128174,0.67578125,1.4038898944854736,0.6325204372406006
13,attn_rot_lm_w3a4_hlm_k3v4,0.04958471221228441,0.02142113633453846,0.1566847860813141,0.6234375238418579,0.2484460324048996,0.8779128789901733
13,attn_rot_lm_w4a3_hlm_k4v3,0.04358961603914698,0.00834294781088829,0.05607860907912254,0.751660168170929,0.14940401911735535,0.9226149916648865
13,attn_rot_lm_w4a4_hlm_k4v4,0.01950497707972924,0.005460742861032486,0.04971626028418541,0.753955066204071,0.08651961386203766,0.9570505023002625
13,fp16,0.0,0.0,0.0,1.0,0.0,1.0
14,attn_direct_absmax_w4a4_absmax_k4v4,0.33366090307633084,0.2601255178451538,0.5836533308029175,0.4679931700229645,1.2853376865386963,0.2737090289592743
14,attn_rot_absmax_w4a4_hlm_k4v4,0.09022968262434006,0.03237563744187355,0.136339008808136,0.677783191204071,1.2219325304031372,0.6349106431007385
14,attn_rot_lm_w3a4_hlm_k3v4,0.03148328699171543,0.022309379652142525,0.19700193405151367,0.6564697027206421,0.22597356140613556,0.8840332627296448
14,attn_rot_lm_w4a3_hlm_k4v3,0.030596012560029823,0.007745854556560516,0.07160856574773788,0.755297839641571,0.1581880748271942,0.9177671670913696
14,attn_rot_lm_w4a4_hlm_k4v4,0.013188218077023825,0.005649672821164131,0.05511414259672165,0.771044909954071,0.0848778784275055,0.956622302532196
14,fp16,0.0,0.0,0.0,1.0,0.0,1.0
15,attn_direct_absmax_w4a4_absmax_k4v4,0.3934751699368159,0.129336416721344,0.7468643188476562,0.4534668028354645,1.6886236667633057,0.13337013125419617
15,attn_rot_absmax_w4a4_hlm_k4v4,0.09030959662050009,0.02347468212246895,0.18960356712341309,0.709228515625,1.4678412675857544,0.6217277646064758
15,attn_rot_lm_w3a4_hlm_k3v4,0.031524920370429754,0.015994610264897346,0.19902031123638153,0.672436535358429,0.28721195459365845,0.8581607341766357
15,attn_rot_lm_w4a3_hlm_k4v3,0.029860297373185556,0.008715858682990074,0.07888463884592056,0.7891601324081421,0.17903217673301697,0.9061753749847412
15,attn_rot_lm_w4a4_hlm_k4v4,0.01297558902297169,0.005256415344774723,0.06726820766925812,0.7879638671875,0.10459433495998383,0.9473752379417419
15,fp16,0.0,0.0,0.0,1.0,0.0,1.0
16,attn_direct_absmax_w4a4_absmax_k4v4,0.39680227885643643,0.21640321612358093,0.5521116256713867,0.465576171875,1.3981139659881592,0.2624099552631378
16,attn_rot_absmax_w4a4_hlm_k4v4,0.12959328883637986,0.06952279806137085,0.2116217017173767,0.703857421875,1.5710171461105347,0.6071410179138184
16,attn_rot_lm_w3a4_hlm_k3v4,0.04307685373350978,0.0244443416595459,0.25382691621780396,0.644824206829071,0.23366107046604156,0.8863757848739624
16,attn_rot_lm_w4a3_hlm_k4v3,0.04504083298767606,0.009592876769602299,0.0872565507888794,0.769335925579071,0.16060088574886322,0.9167068004608154
16,attn_rot_lm_w4a4_hlm_k4v4,0.01938632398378104,0.0065370118245482445,0.08449013531208038,0.762939453125,0.09345079213380814,0.9533845782279968
16,fp16,0.0,0.0,0.0,1.0,0.0,1.0
17,attn_direct_absmax_w4a4_absmax_k4v4,0.38518499583005905,0.09919218719005585,0.6242623329162598,0.4552001953125,1.7630946636199951,0.202305406332016
17,attn_rot_absmax_w4a4_hlm_k4v4,0.13386812340468168,0.020696651190519333,0.20403622090816498,0.708251953125,2.497457981109619,0.5115445852279663
17,attn_rot_lm_w3a4_hlm_k3v4,0.044605127380539976,0.019094673916697502,0.1904287040233612,0.623364269733429,0.33293551206588745,0.8388974666595459
17,attn_rot_lm_w4a3_hlm_k4v3,0.0462911732805272,0.006274010054767132,0.07395514845848083,0.7788330316543579,0.26935502886772156,0.8638745546340942
17,attn_rot_lm_w4a4_hlm_k4v4,0.021060076386978228,0.005270074121654034,0.05271057039499283,0.7806396484375,0.1383449137210846,0.9315216541290283
17,fp16,0.0,0.0,0.0,1.0,0.0,1.0
18,attn_direct_absmax_w4a4_absmax_k4v4,0.3648653005560239,0.10971198230981827,1.1182641983032227,0.45063477754592896,1.3752586841583252,0.06196872517466545
18,attn_rot_absmax_w4a4_hlm_k4v4,0.12180695279190938,0.025340449064970016,0.19409337639808655,0.679882824420929,1.5033445358276367,0.6484719514846802
18,attn_rot_lm_w3a4_hlm_k3v4,0.04019041204204162,0.019358891993761063,0.17255809903144836,0.6204833984375,0.31615304946899414,0.8471224308013916
18,attn_rot_lm_w4a3_hlm_k4v3,0.03881911436716715,0.00957765243947506,0.10213174670934677,0.723095715045929,0.23658782243728638,0.8787201642990112
18,attn_rot_lm_w4a4_hlm_k4v4,0.017320050004248817,0.006817614194005728,0.07393573969602585,0.735034167766571,0.13307391107082367,0.9339243173599243
18,fp16,0.0,0.0,0.0,1.0,0.0,1.0
19,attn_direct_absmax_w4a4_absmax_k4v4,0.405903123319149,0.1099940687417984,1.3485667705535889,0.4732666015625,1.568150281906128,0.08888596296310425
19,attn_rot_absmax_w4a4_hlm_k4v4,0.1396997111539046,0.027185380458831787,0.2174404263496399,0.7061767578125,2.4085326194763184,0.47682642936706543
19,attn_rot_lm_w3a4_hlm_k3v4,0.05326800560578704,0.01695743389427662,0.28552812337875366,0.640551745891571,0.40006160736083984,0.8263752460479736
19,attn_rot_lm_w4a3_hlm_k4v3,0.048195567447692156,0.007950800471007824,0.1489136666059494,0.7457275390625,0.27173635363578796,0.8639465570449829
19,attn_rot_lm_w4a4_hlm_k4v4,0.021026921031686168,0.004781520925462246,0.0916743129491806,0.77587890625,0.13426843285560608,0.932605504989624
19,fp16,0.0,0.0,0.0,1.0,0.0,1.0
20,attn_direct_absmax_w4a4_absmax_k4v4,0.39289678384860355,0.05194643512368202,1.5307477712631226,0.4718994200229645,1.0369442701339722,0.3009391725063324
20,attn_rot_absmax_w4a4_hlm_k4v4,0.13373601343482733,0.010010289959609509,0.28349775075912476,0.734057605266571,1.0237544775009155,0.6969549655914307
20,attn_rot_lm_w3a4_hlm_k3v4,0.05586070287972689,0.016839994117617607,0.5123704075813293,0.6346679925918579,0.2362004816532135,0.8829727172851562
20,attn_rot_lm_w4a3_hlm_k4v3,0.05311399193791052,0.00603398447856307,0.1649267077445984,0.7885497808456421,0.1748536378145218,0.9089930057525635
20,attn_rot_lm_w4a4_hlm_k4v4,0.024440865808477003,0.004192954394966364,0.1413181871175766,0.8099365234375,0.09603646397590637,0.9511720538139343
20,fp16,0.0,0.0,0.0,1.0,0.0,1.0
21,attn_direct_absmax_w4a4_absmax_k4v4,0.37879470487435657,0.17655302584171295,1.337304949760437,0.4439453184604645,0.7890766859054565,0.5905750393867493
21,attn_rot_absmax_w4a4_hlm_k4v4,0.08624893706291914,0.013880006968975067,0.2850823998451233,0.746508777141571,0.6659942865371704,0.774483859539032
21,attn_rot_lm_w3a4_hlm_k3v4,0.03773001038158933,0.016059068962931633,0.5254387259483337,0.644726574420929,0.14494621753692627,0.9247012734413147
21,attn_rot_lm_w4a3_hlm_k4v3,0.036144773553436,0.007024683523923159,0.1945473998785019,0.769335925579071,0.0908656120300293,0.9550020098686218
21,attn_rot_lm_w4a4_hlm_k4v4,0.01602158648893237,0.004352418705821037,0.15887199342250824,0.788281261920929,0.04762733727693558,0.975967526435852
21,fp16,0.0,0.0,0.0,1.0,0.0,1.0
